2026-03-13 10:23:07.1945 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7073 
2026-03-13 10:23:07.2307 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 
2026-03-13 10:23:07.2778 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2026-03-13 10:23:07.2778 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2026-03-13 10:23:07.2778 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\Capgemini Training\Web API\NLogWebApiDemo\NLogWebApiDemo 
2026-03-13 10:23:43.3718 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7073 
2026-03-13 10:23:43.4021 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 
2026-03-13 10:23:43.6638 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2026-03-13 10:23:43.6638 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2026-03-13 10:23:43.6638 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\Capgemini Training\Web API\NLogWebApiDemo\NLogWebApiDemo 
2026-03-13 10:24:25.9422 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7073 
2026-03-13 10:24:25.9707 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 
2026-03-13 10:24:26.0166 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2026-03-13 10:24:26.0166 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2026-03-13 10:24:26.0166 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\Capgemini Training\Web API\NLogWebApiDemo\NLogWebApiDemo 
2026-03-13 10:25:42.0732 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7073 
2026-03-13 10:25:42.1098 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 
2026-03-13 10:25:42.1756 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2026-03-13 10:25:42.1756 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2026-03-13 10:25:42.1756 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\Capgemini Training\Web API\NLogWebApiDemo\NLogWebApiDemo 
2026-03-13 10:30:35.0688 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7073 
2026-03-13 10:30:35.1066 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5000 
2026-03-13 10:30:35.1762 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2026-03-13 10:30:35.1762 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2026-03-13 10:30:35.1762 | INFO | Microsoft.Hosting.Lifetime | Content root path: D:\Capgemini Training\Web API\NLogWebApiDemo\NLogWebApiDemo 
